LRU/SRU P/N Product Line Desc,FAILURE OPEN DATE,Failed Item Description,Failed Item,Fail Code Desc,Fail Cat Desc,Rep Act Code Des
M ,15/06/2023,TCU,85-31-00050-01,Electrical Issue,electrical,Replaced/add Component
M ,15/06/2023,"DOWN BOARD ASSY, POWER SUPPLY",501-31-00621-00,Component Issue,electrical,Replaced/add Component
M ,15/06/2023,"DOWN BOARD ASSY, POWER SUPPLY",501-31-00621-00,Component Issue,electrical,Missing componet
M ,15/06/2023,TCU,85-31-00050-01,Electrical Issue,electrical,Replaced/add Component
M ,15/06/2023,TCU,85-31-00050-01,Electrical Issue,electrical,Rework
M ,15/06/2023,TCU,85-31-00050-01,Electrical Issue,electrical,Replaced/add Component
M ,15/06/2023,TCU,85-31-00050-01,Electrical Issue,electrical,Replaced/add Component
M ,15/06/2023,TCU,85-31-00050-01,Electrical Issue,electrical,Replaced/add Component
M ,15/06/2023,TCU,85-31-00050-01,Electrical Issue,electrical,Replaced/add Component
M ,15/06/2023,ENCRYPTION UNIT,90-30-00101-01,Component Issue,HT,Replaced/add Component
C ,15/06/2023,AMC,MB0807D-22,SRU Issue,electrical,Replaced/add Component
P ,15/06/2023,PROJECTION ASSY,112835A-00,SRU Issue,electrical,Replaced SRU
C ,15/06/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,16/06/2023,PROJECTION ASSY,112835A-00,Operator Mistake,Workmanship,Retest
M ,16/06/2023,MADU,901-36-00100-04,Tester Issue,Tester,Retest
P ,17/06/2023,WCDDM TOP ASSY,MB1403A-00,Assembly Issue,Workmanship,Reassembly
C ,19/06/2023,COMPUTER UNIT- GEN-1,GB1277N-00,Can Not Duplicate,Can Not Duplicate,No repair action was taken
P ,19/06/2023,OLED OPTICS ASSY,082712J-00,Tester Issue,Tester,Re Calibration
C ,19/06/2023,COMPUTER UNIT- GEN-1,GB1277N-00,Tester Issue,RT,Retest
C ,19/06/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,19/06/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,19/06/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,19/06/2023,AMC,MB0807D-22,Can Not Duplicate,Can Not Duplicate,No repair action was taken
P ,19/06/2023,"NIGHT HUD, TOP ASSY",MB240A-03,OPERATOR MISTAKE KABAM,Workmanship,Retest
M ,19/06/2023,MADU,951-36-00100-01,For testing,low temp,Retest
C ,19/06/2023,COMPUTER UNIT- GEN-1,GB1277N-00,SRU Issue,electrical,Replaced SRU
M ,19/06/2023,IO DAUGHTER BOARD ASSY,97-40-31005-01,Component Issue,electrical,Replaced/add Component
M ,19/06/2023,MADU,951-36-00100-01,For testing,low temp,Retest
C ,19/06/2023,COMPUTER UNIT- GEN-1,GB1277N-00,Defect LRU,RT,Repair
M ,20/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,20/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,20/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,20/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,20/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,20/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,20/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,20/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,20/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,20/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,20/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
C ,20/06/2023,DTD UNIT,MB0946C-07,SRU Issue,Damage,Replaced SRU
M ,21/06/2023,TCU,85-31-00050-01,Component Issue,electrical,Replaced/add Component
P ,21/06/2023,OPTICAL UNIT ASSY,42612A-03,Damage Issue,Optical,Replaced SRU
M ,21/06/2023,TCU,85-31-00050-01,Component Issue,electrical,Replaced/add Component
M ,21/06/2023,I.C BOARD ASSY,85-31-00230-03,Component Issue,electrical,Replaced/add Component
C ,22/06/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,22/06/2023,AMC,MB0807D-22,SRU Issue,electrical,Replaced SRU
C ,22/06/2023,AMC,MB0807D-22,No Problem,electrical,Retest
P ,22/06/2023,WCDDM TOP ASSY,MB1403A-00,SRU Issue,electrical,Re Calibration
C ,22/06/2023,AMC,MB0807D-22,SRU Issue,low temp,Replaced SRU
M ,23/06/2023,EGT UNIT,85-51-00050-02,Inspection,Workmanship,No repair action was taken
C ,25/06/2023,AMC,MB0807D-22,Tester Issue,low temp,Retest
C ,25/06/2023,AMC,MB0807D-22,Can Not Duplicate,Can Not Duplicate,No repair action was taken
C ,26/06/2023,AMC,MB0807D-22,Can Not Duplicate,Engineering,No repair action was taken
C ,26/06/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,26/06/2023,AMC,MB0807D-22,SRU Issue,,No repair action was taken
C ,26/06/2023,AMC,MB0807D-22,SRU Issue,low temp,Rework
C ,26/06/2023,AMC,MB0807D-22,SRU Issue,low temp,No repair action was taken
M ,26/06/2023,ANTENNA INTERFACE,951-35-00110-01,Defect LRU,Intgreation,Replaced/add Component
C ,26/06/2023,COMPUTER UNIT- GEN-1,GB1277N-00,Tester Issue,RT,Retest
M ,27/06/2023,"DOWN BOARD ASSY, POWER SUPPLY",501-31-00621-00,Component Issue,electrical,Replaced/add Component
M ,27/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,27/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,27/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,27/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,27/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
P ,27/06/2023,WCNDM TOP ASSY,MB1402A-00,Damage,Mechanical,Replaced/add Component
M ,27/06/2023,AVU,MB668B-02,Operator Mistake,HT,Retest
P ,27/06/2023,WCDDM TOP ASSY,MB1403A-00,Electrical Issue,electrical,Reprograming
M ,28/06/2023,CONTROLLER BOX ASSY,79-83-00300-02,Tester Issue,Tester,Retest
C ,28/06/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,28/06/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,28/06/2023,WCDDM TOP ASSY,MB1403A-00,SRU Issue,electrical,Re Calibration
C ,28/06/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,28/06/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,29/06/2023,WCNDM TOP ASSY,MB1402N-01,Documentation Issue,Document,Rework
P ,29/06/2023,WCNDM TOP ASSY,MB1402N-01,Documentation Issue,Document,Rework
C ,29/06/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,29/06/2023,COMPUTER UNIT- GEN-1,GB1277N-00,Tester Issue,HT,Retest
P ,29/06/2023,WCDDM TOP ASSY,MB1403A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
M ,29/06/2023,I.C BOARD ASSY,85-31-00230-03,Component Issue,electrical,Replaced/add Component
C ,02/07/2023,AMC,MB0807D-22,SRU Issue,low temp,Replaced SRU
M ,02/07/2023,ANTENNA INTERFACE,951-35-00110-01,Defect LRU,electrical,Rework
M ,02/07/2023,ANTENNA INTERFACE,951-35-00110-01,Defect LRU,electrical,Rework
C ,02/07/2023,AMC,MB0807D-22,SRU Issue,electrical,Replaced SRU
C ,02/07/2023,AMC,MB0807D-22,SRU Issue,electrical,Replaced SRU
M ,03/07/2023,FUEL FLOW,85-70-00530-00,Electrical Issue,electrical,Rework
M ,03/07/2023,CONTROLLER BOX ASSY,79-83-00300-02,SRU Issue,electrical,Replaced/add Component
M ,03/07/2023,FLIGHT CONTROL UNIT (FCU) ASSY,MA812D-01,Tester Issue,HT,Retest
C ,03/07/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
M ,03/07/2023,VMSC,915-30-00100-00,Tester Issue,Software,Fixed Test Equipment
M ,04/07/2023,"STICK, RIGHT HAND",915-05-00170-00,OPERATOR MISTAKE ELBIT,Workmanship,Retest
C ,04/07/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
M ,04/07/2023,FLIGHT CONTROL UNIT (FCU) ASSY,MA812D-01,Component Issue,low temp,Replaced/add Component
P ,04/07/2023,PROJECTION ASSY,112835A-00,SRU Issue,electrical,Replaced SRU
M ,05/07/2023,FUSE BOARD ASSY,85-31-00270-00,Component Issue,electrical,Broken component
P ,05/07/2023,WCDDM TOP ASSY,MB1403A-00,Inspection,Inspection Optics,Reassembly
C ,05/07/2023,AMC,MB0807D-22,Can Not Duplicate,Can Not Duplicate,No repair action was taken
C ,06/07/2023,DTD UNIT,MB0946C-07,SRU Issue,Hardware,Replaced SRU
C ,09/07/2023,"PWA, SNOWRUNNER GRAPHICS III",018752U-00,Component Issue,Workmanship,Replaced/add Component
C ,09/07/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,09/07/2023,AMC,MB0807D-22,SRU Issue,Hardware,Rework
C ,09/07/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
P ,09/07/2023,COMMON DEP TOP ASSY,MB1658B-00,Tester Issue,Tester,Retest
P ,10/07/2023,WCNDM TOP ASSY,MB1402A-00,Documentation Issue,Document,Rework
C ,10/07/2023,AMC,MB0807D-22,SRU Issue,electrical,Replaced SRU
M ,10/07/2023,VMSC,915-30-00100-00,Cleaning Issue,electrical,Cleaning
M ,10/07/2023,MAC,951-30-00100-04,SRU Issue,electrical,Replaced/add Component
M ,10/07/2023,MAC,951-30-00100-04,SRU Issue,electrical,Replaced SRU
M ,10/07/2023,MAC,951-30-00100-04,SRU Issue,electrical,Replaced SRU
M ,11/07/2023,VMSC,915-30-00100-00,SRU Issue,electrical,Replaced SRU
M ,11/07/2023,SPDU,950-31-00100-01,SRU Issue,electrical,Replaced/add Component
C ,11/07/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,12/07/2023,AMC,MB0807D-22,SRU Issue,electrical,Replaced SRU
C ,12/07/2023,"PWA, HDP BASE",106513A-01,Component Issue,Workmanship,Replaced/add Component
C ,12/07/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
C ,13/07/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,13/07/2023,AMC,MB0807D-22,SRU Issue,Hardware,Rework
C ,13/07/2023,AMC,MB0807D-22,SRU Issue,electrical,Replaced/add Component
M ,16/07/2023,RMSC,93-30-00200-05,SRU Issue,electrical,No repair action was taken
P ,16/07/2023,"CABLE ASSY, CHMD NIGHT",080112D-00,SRU Issue,electrical,Replaced SRU
C ,16/07/2023,COMPUTER UNIT- GEN-1,GB1277N-00,SRU Issue,electrical,Replaced SRU
C ,16/07/2023,COMPUTER UNIT- GEN-1,GB1277N-00,SRU Issue,electrical,Replaced SRU
C ,17/07/2023,COMPUTER UNIT- GEN-1,GB1277N-00,SRU Issue,electrical,Replaced SRU
M ,17/07/2023,VCM PANO,904-80-00250-01,Electrical Issue,electrical,Replaced SRU
M ,18/07/2023,I.C BOARD ASSY,85-31-00230-03,Component Issue,Hardware,Replaced/add Component
C ,18/07/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,Tester Issue,,Rework
M ,18/07/2023,PDU-2 BOARD ASSY,602-31-00147-03,SRU Issue,Engineering,Replaced SRU
M ,18/07/2023,PDU-2 BOARD ASSY,602-31-00147-03,SRU Issue,Engineering,Replaced SRU
M ,18/07/2023,POWER QUICC II CORE PROC. ASSY,97-05-31016-01,SRU Issue,electrical,Replaced SRU
M ,18/07/2023,POWER QUICC II CORE PROC. ASSY,97-05-31016-01,SRU Issue,electrical,Replaced SRU
P ,18/07/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Retest
P ,19/07/2023,WCDDM TOP ASSY,MB1403A-00,Documentation Issue,Document,Rework
P ,19/07/2023,WCDDM TOP ASSY,MB1403B-01,OPERATOR MISTAKE KABAM,Workmanship,No repair action was taken
M ,19/07/2023,VCM PAYLOAD,904-80-00200-01,Tester Issue,HT,No repair action was taken
P ,19/07/2023,WCDDM TOP ASSY,MB1403B-01,OPERATOR MISTAKE KABAM,Workmanship,No repair action was taken
M ,19/07/2023,"DOWN BOARD ASSY, POWER SUPPLY",501-31-00621-00,Component Issue,electrical,Replaced/add Component
C ,19/07/2023,"PWA, SVIO BASE",101460A-00,Component Issue,electrical,Replaced/add Component
P ,19/07/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Retest
M ,19/07/2023,VCM PANO,904-80-00250-01,Tester Issue,HT,No repair action was taken
P ,20/07/2023,WCDDM TOP ASSY,MB1403B-01,OPERATOR MISTAKE KABAM,Workmanship,No repair action was taken
C ,20/07/2023,AMC,MB0807D-22,Assembly Issue,Hardware,Reassembly
P ,20/07/2023,WCDDM TOP ASSY,MB1403A-00,Component Issue,electrical,Replaced/add Component
C ,20/07/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,21/07/2023,CDDM TOP ASSY,MB1268D-03,UPGRADE,Tester,Preform UPGRAGE
C ,23/07/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,23/07/2023,"PWA, SNOWRUNNER GRAPHICS III",018752U-00,Component Issue,Workmanship,Replaced/add Component
P ,23/07/2023,OLED OPTICS ASSY,082712J-00,SRU Issue,electrical,Replaced SRU
P ,24/07/2023,"OLED OPTICS ASSY, LEFT",112005A-00,Component Issue,Mechanical,Re Calibration
C ,24/07/2023,"PWA, HDP BASE",052784D-04,Component Issue,electrical,Replaced/add Component
P ,25/07/2023,CABLE AND DRIVER NIGHT ASSY,018875A-01,SRU Issue,electrical,Replaced SRU
M ,25/07/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,25/07/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,25/07/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
C ,25/07/2023,COMPUTER UNIT- GEN-1,GB1277N-00,Tester Issue,low temp,Fixed Test Equipment
M ,25/07/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,25/07/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,25/07/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,25/07/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,25/07/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,25/07/2023,RMSC,93-30-00200-05,SRU Issue,electrical,No repair action was taken
M ,26/07/2023,BATTERY SWITCH BOARD ASSY,501-31-00110-00,Component Issue,electrical,Reprograming
M ,26/07/2023,BATTERY SWITCH BOARD ASSY,501-31-00110-00,Component Issue,electrical,Reprograming
C ,26/07/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
C ,26/07/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,Tester Issue,Tester,Retest
C ,26/07/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,Tester Issue,Tester,Retest
C ,26/07/2023,AMC,MB0807DA-22,Tester Issue,Tester,Retest
M ,26/07/2023,PDCR,602-31-00140-02,Tester Issue,Tester,Retest
M ,28/07/2023,VMSC,915-30-00100-00,SRU Issue,low temp,Replaced/add Component
C ,28/07/2023,AMC,MB0807D-22,Component Issue,Hardware,Replaced/add Component
C ,30/07/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,31/07/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,31/07/2023,OLED OPTICS ASSY,082712J-00,Tester Issue,Tester,Re Calibration
P ,31/07/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Fixed Test Equipment
C ,31/07/2023,COMPUTER UNIT- GEN-1,GB1277N-00,SRU Issue,low temp,Replaced SRU
M ,31/07/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replaced/add Component
C ,31/07/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,31/07/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
M ,01/08/2023,FUEL FLOW BOARD ASSY,80-70-00010-01,Component Issue,electrical,Replaced/add Component
M ,01/08/2023,FUEL FLOW BOARD ASSY,80-70-00010-01,Component Issue,electrical,Replaced/add Component
M ,01/08/2023,FUEL FLOW BOARD ASSY,80-70-00010-01,Component Issue,electrical,Replaced/add Component
M ,01/08/2023,FUEL FLOW BOARD ASSY,80-70-00010-01,Component Issue,electrical,Replaced/add Component
M ,01/08/2023,FUEL FLOW BOARD ASSY,80-70-00010-01,Component Issue,electrical,Replaced/add Component
C ,01/08/2023,COMPUTER UNIT- GEN-1,GB1277N-00,SRU Issue,electrical,Replaced SRU
P ,01/08/2023,WCNDM TOP ASSY,MB1402A-00,Cleaning Issue,Optical,Rework
P ,01/08/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Retest
M ,02/08/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replaced/add Component
M ,02/08/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replaced/add Component
C ,02/08/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,02/08/2023,AMC,MB0807D-22,Assembly Issue,Hardware,Reassembly
P ,04/08/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,04/08/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,05/08/2023,COMMON DEP TOP ASSY,MB1658B-00,Tester Issue,,Fixed Test Equipment
P ,06/08/2023,WCNDM TOP ASSY,MB1402A-00,Tester Issue,Tester,No repair action was taken
P ,06/08/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Changed Test Equipment
P ,06/08/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Changed Test Equipment
M ,06/08/2023,PDCR,602-31-00140-02,Tester Issue,Tester,Retest
M ,06/08/2023,PDCR,602-31-00140-02,Tester Issue,Tester,Retest
C ,06/08/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,06/08/2023,AMC,MB0807D-22,Can Not Duplicate,Can Not Duplicate,No repair action was taken
C ,06/08/2023,AMC,MB0807D-22,SRU Issue,low temp,Replaced SRU
P ,07/08/2023,WCDDM TOP ASSY,MB1403B-01,Tester Issue,Tester,Retest
P ,07/08/2023,OLED OPTICS ASSY,082712J-00,SRU Issue,Optical,Replaced SRU
P ,07/08/2023,WCDDM TOP ASSY,MB1403A-00,Component Issue,electrical,Replaced/add Component
P ,07/08/2023,"CABLE ASSY, CHMD NIGHT",080112D-00,SRU Issue,electrical,Replaced SRU
P ,07/08/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Retest
P ,08/08/2023,WCDDM TOP ASSY,MB1403A-00,Documentation Issue,Document,Rework
C ,08/08/2023,"PWA, SNOWRUNNER, 2CF VM",046198C-01,Component Issue,Workmanship,Replaced/add Component
P ,08/08/2023,WCDDM TOP ASSY,MB1403A-00,Documentation Issue,Document,Rework
M ,08/08/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Replaced/add Component
M ,08/08/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Replaced/add Component
C ,09/08/2023,AMC,MB0807D-22,Assembly Issue,Hardware,Reassembly
M ,09/08/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Replaced/add Component
M ,09/08/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Replaced/add Component
M ,09/08/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Replaced/add Component
M ,09/08/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Replaced/add Component
M ,09/08/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Replaced/add Component
P ,09/08/2023,WCDDM TOP ASSY,MB1403A-00,Visual Inspection,Mechanical,No repair action was taken
C ,09/08/2023,AMC,MB0807D-22,Infrastructure,Infrastructure,Retest
C ,09/08/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
M ,09/08/2023,PDCR,602-31-00140-02,Tester Issue,Tester,Retest
C ,09/08/2023,DTD UNIT,MB0946C-07,Defect LRU,RT,Repair
P ,10/08/2023,"PWA, INTERFACE, MHU (LF)",067443A-02,SRU Issue,Optical,Replaced SRU
P ,10/08/2023,OLED OPTICS ASSY,082712J-00,Visual Inspection,Optical,Replaced SRU
C ,10/08/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
M ,10/08/2023,VMSC DRBP ASSY,97-40-31002-02,Component Issue,electrical,Replaced/add Component
P ,10/08/2023,WCNDM TOP ASSY,MB1402A-00,Visual Inspection,Mechanical,Replaced/add Component
M ,10/08/2023,TCU,85-31-00050-01,Tester Issue,Tester,Retest
M ,10/08/2023,TCU,85-31-00050-01,Tester Issue,Tester,Retest
M ,10/08/2023,TCU,85-31-00050-01,Tester Issue,Tester,Retest
M ,10/08/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,10/08/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
C ,13/08/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,13/08/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
C ,13/08/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
C ,13/08/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
C ,13/08/2023,AMC,MB0807D-22,Can Not Duplicate,electrical,Retest
C ,13/08/2023,AMC,MB0807D-22,SRU Issue,HT,No repair action was taken
C ,13/08/2023,AMC,MB0807D-22,SRU Issue,,Retest
M ,13/08/2023,EGT BOARD ASSY,85-51-00060-00,Component Issue,electrical,Broken component
C ,13/08/2023,AMC,MB0807D-22,Can Not Duplicate,Can Not Duplicate,Retest
C ,13/08/2023,AMC,MB0807D-22,Can Not Duplicate,,No repair action was taken
P ,13/08/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Fixed Test Equipment
P ,13/08/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Retest
C ,13/08/2023,"PWA, IOC BASE",006465J-00,Component Issue,Damage,Broken component
C ,13/08/2023,"PWA, IOC BASE",006465J-00,Component Issue,Damage,Broken component
P ,13/08/2023,CDDM TOP ASSY,MB1268D-03,Component Issue,electrical,Replaced/add Component
C ,14/08/2023,AMC,MB0807D-22,Operator Mistake,Workmanship,Retest
M ,14/08/2023,FDR,95-84-00100-01,SRU Issue,electrical,Replaced/add Component
C ,14/08/2023,AMC,MB0807D-22,Assembly Issue,Hardware,Reassembly
C ,14/08/2023,"PWA, SNOWRUNNER, 2CF VM",046198C-01,Component Issue,electrical,Broken component
C ,15/08/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,16/08/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,Defect LRU,RT,Repair
C ,16/08/2023,COMPUTER UNIT- GEN-1,GB1277N-00,SRU Issue,electrical,Replaced SRU
C ,17/08/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,17/08/2023,AMC,MB0807D-22,Infrastructure,Infrastructure,Repair Infrastructure
M ,17/08/2023,IFF UNIT,87-42-00100-00,SRU Issue,electrical,Replaced SRU
C ,18/08/2023,AMC,MB0807D-22,Can Not Duplicate,Infrastructure,Fixed Test Equipment
P ,18/08/2023,"NIGHT HUD, TOP ASSY",MB240A-03,Tester Issue,Tester,Retest
C ,18/08/2023,AMC,MB0807D-22,Component Issue,Hardware,Replaced/add Component
P ,20/08/2023,"NIGHT HUD, TOP ASSY",MB240A-03,Tester Issue,Tester,Retest
C ,20/08/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,20/08/2023,AMC,MB0807D-22,Coating Issue,Hardware,Replaced SRU
C ,20/08/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,20/08/2023,AMC,MB0807D-22,Operator Mistake,Workmanship,Retest
C ,21/08/2023,AMC,MB0807D-22,Assembly Issue,Hardware,Reassembly
C ,21/08/2023,DTD UNIT,MB0946C-07,SRU Issue,electrical,Replaced SRU
M ,21/08/2023,CONTROLLER BOX ASSY,79-83-00300-02,Electrical Issue,electrical,Rework
C ,22/08/2023,AMC,MB0807D-22,Can Not Duplicate,low temp,No repair action was taken
C ,22/08/2023,AMC,MB0807D-22,Can Not Duplicate,,Retest
M ,22/08/2023,CONTROLLER BOX ASSY,79-83-00300-02,Electrical Issue,electrical,Rework
M ,22/08/2023,CONTROLLER BOX ASSY,79-83-00300-02,Electrical Issue,electrical,Rework
M ,22/08/2023,CONTROLLER BOX ASSY,79-83-00300-02,Electrical Issue,electrical,Replaced/add Component
C ,22/08/2023,AMC,MB0807D-22,Component Issue,Hardware,Replaced/add Component
M ,22/08/2023,FLIGHT CONTROL UNIT (FCU) ASSY,MA812D-01,Component Issue,Mechanical,Rework
P ,22/08/2023,WCDDM TOP ASSY,MB1403A-00,SRU Issue,Assembly,Re Calibration
C ,23/08/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,23/08/2023,WCNDM TOP ASSY,MB1402A-00,Tester Issue,electrical,Retest
M ,23/08/2023,EFI BOARD ASSY,80-63-00010-04,Component Issue,electrical,Missing componet
C ,23/08/2023,AMC,MB0807D-22,Tester Issue,Tester,Cable Issue
C ,23/08/2023,COMPUTER UNIT-TOP ASSY,MB1277J-02,Defect LRU,RT,Repair
C ,23/08/2023,COMPUTER UNIT-TOP ASSY,MB1277J-02,NFYC-Non failure yield calcula,Infrastructure,Repair Infrastructure
P ,24/08/2023,OLED OPTICS ASSY,082712J-00,SRU Issue,Optical,Replaced SRU
C ,24/08/2023,AMC,MB0807D-22,Can Not Duplicate,Can Not Duplicate,Rework
P ,24/08/2023,"PWA, COBE",078898B-01,SRU Issue,electrical,Replaced SRU
C ,27/08/2023,AMC,MB0807D-22,Component Issue,Hardware,Replaced/add Component
C ,27/08/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
M ,27/08/2023,FLIGHT CONTROL UNIT (FCU) ASSY,MA812D-01,SRU Issue,electrical,Replaced SRU
M ,27/08/2023,FLIGHT CONTROL UNIT (FCU) ASSY,MA812D-01,Component Issue,Mechanical,Replaced/add Component
C ,27/08/2023,AMC,MB0807D-22,Damage Issue,Hardware,Replaced SRU
C ,27/08/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,27/08/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,27/08/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,Defect LRU,low temp,Repair
C ,27/08/2023,DTD UNIT,MB0946C-07,SRU Issue,electrical,Replaced SRU
P ,27/08/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Replaced SRU
P ,27/08/2023,WCNDM TOP ASSY,MB1402R-00,Operator Mistake,Document,Repair
C ,27/08/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,27/08/2023,AMC,MB0807D-22,Tester Issue,Tester,Cable Issue
P ,28/08/2023,CDDM TOP ASSY,MB1268D-03,Component Issue,electrical,Replaced/add Component
